date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:51	39712/39712	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/navbar-static.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/navbar-static.jpg	(from http://v3.bootcss.com/getting-started/)
19:50:52	3834/3834	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/navbar-static-top/	e:/My%20Websites/111/v3.bootcss.com/examples/navbar-static-top/index.html	(from http://v3.bootcss.com/getting-started/)
19:50:52	100105/100105	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/grid.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/grid.jpg	(from http://v3.bootcss.com/getting-started/)
19:50:52	3830/3830	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/navbar-fixed-top/	e:/My%20Websites/111/v3.bootcss.com/examples/navbar-fixed-top/index.html	(from http://v3.bootcss.com/getting-started/)
19:50:54	13648/13648	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/sign-in.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/sign-in.jpg	(from http://v3.bootcss.com/getting-started/)
19:50:55	38093/38093	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/navbar-fixed.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/navbar-fixed.jpg	(from http://v3.bootcss.com/getting-started/)
19:50:55	1846/1846	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/signin/	e:/My%20Websites/111/v3.bootcss.com/examples/signin/index.html	(from http://v3.bootcss.com/getting-started/)
19:50:56	122180/122180	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/jumbotron.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/jumbotron.jpg	(from http://v3.bootcss.com/getting-started/)
19:50:56	1918/1918	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/sticky-footer/	e:/My%20Websites/111/v3.bootcss.com/examples/sticky-footer/index.html	(from http://v3.bootcss.com/getting-started/)
19:50:56	25056/25056	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/sticky-footer.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/sticky-footer.jpg	(from http://v3.bootcss.com/getting-started/)
